title,company_name,company_logo_url,location,salary_text,salary_min,salary_max,skills,description,requirements,benefits,deadline,source_name,source_url
Frontend Developer (React),VNG Corporation,,TP. Hồ Chí Minh,25 - 40 triệu,25000000,40000000,React;TypeScript;Next.js;Tailwind CSS;Jest,Phát triển giao diện cho các sản phẩm Zalo và ZaloPay phục vụ hàng triệu người dùng. Làm việc với đội ngũ thiết kế UX/UI để tạo trải nghiệm tốt nhất.,Tối thiểu 3 năm kinh nghiệm React. Thành thạo TypeScript. Có kinh nghiệm với Next.js và SSR.,Lương tháng 13; bảo hiểm toàn diện; gym miễn phí; team building hàng quý,2026-07-31,CSV Sample,
Python Backend Developer,FPT Software,,Hà Nội,20 - 35 triệu,20000000,35000000,Python;FastAPI;PostgreSQL;Docker;Redis,Tham gia phát triển backend cho các dự án outsourcing lớn. Thiết kế RESTful API và làm việc với cơ sở dữ liệu PostgreSQL.,Tối thiểu 2 năm kinh nghiệm Python. Thành thạo FastAPI hoặc Django. Có kinh nghiệm với Docker.,Lương tháng 13; bảo hiểm sức khỏe; cơ hội onsite Nhật Bản; MacBook Pro,2026-08-15,CSV Sample,
Data Engineer,Zalo (VNG),,TP. Hồ Chí Minh,35 - 55 triệu,35000000,55000000,Python;Apache Spark;Airflow;AWS;PostgreSQL,Xây dựng data pipeline xử lý hàng petabyte dữ liệu người dùng. Thiết kế data warehouse và hệ thống báo cáo real-time.,Tối thiểu 3 năm kinh nghiệm Data Engineer. Thành thạo Spark. Có kinh nghiệm với AWS.,Cổ phiếu ESOP; bảo hiểm; môi trường R&D mạnh; hội thảo kỹ thuật,2026-09-01,CSV Sample,
DevOps Engineer (AWS),KMS Technology,,TP. Hồ Chí Minh,22 - 38 triệu,22000000,38000000,Docker;Kubernetes;AWS;Terraform;CI/CD,Quản lý hạ tầng cloud AWS cho các dự án phần mềm. Thiết lập Kubernetes cluster và CI/CD pipeline.,Chứng chỉ AWS Solutions Architect. Tối thiểu 2 năm DevOps. Thành thạo Terraform.,Chứng chỉ AWS miễn phí; làm việc hybrid; lương tháng 13,2026-07-20,CSV Sample,
Mobile Developer (React Native),VieConnect,,Đà Nẵng,18 - 30 triệu,18000000,30000000,React Native;TypeScript;Redux;Firebase;REST API,Phát triển ứng dụng di động ViecConnect cho iOS và Android. Tích hợp API backend và notification.,Tối thiểu 2 năm React Native. Đã publish app lên store. Có kinh nghiệm với Firebase.,Làm việc remote 3 ngày/tuần; MacBook Pro; bảo hiểm,2026-08-10,CSV Sample,
AI/ML Engineer,VIN AI Research,,Hà Nội,40 - 65 triệu,40000000,65000000,Python;PyTorch;Transformers;MLflow;CUDA,Nghiên cứu và phát triển mô hình AI xử lý ngôn ngữ tiếng Việt. Fine-tune LLMs cho ứng dụng thực tế.,Thạc sĩ/Tiến sĩ ngành AI/ML. Kinh nghiệm với Transformers. Có publication là lợi thế.,Phòng lab hiện đại; tham dự hội nghị quốc tế; tài trợ học phí; lương cạnh tranh,2026-09-15,CSV Sample,
QA Automation Engineer,Techcombank,,Hà Nội,18 - 28 triệu,18000000,28000000,Selenium;Python;Cypress;API Testing;CI/CD,Xây dựng automation test framework cho các ứng dụng ngân hàng số. Tích hợp vào CI/CD pipeline.,Tối thiểu 2 năm QA Automation. Thành thạo Selenium hoặc Cypress.,Chế độ ngân hàng; bảo hiểm; đào tạo ISTQB; thăng tiến rõ ràng,2026-07-25,CSV Sample,
Fullstack Developer (Node.js),Shopee Vietnam,,TP. Hồ Chí Minh,30 - 50 triệu,30000000,50000000,Node.js;React;TypeScript;MongoDB;AWS,Phát triển tính năng fullstack cho hệ thống quản lý người bán Shopee.,Tối thiểu 3 năm fullstack. Thành thạo Node.js và React. Kinh nghiệm AWS.,Bảo hiểm toàn diện; thưởng hiệu suất; du lịch hàng năm; đào tạo,2026-08-05,CSV Sample,
iOS Developer (Swift),MoMo (M_Service),,TP. Hồ Chí Minh,25 - 40 triệu,25000000,40000000,Swift;UIKit;SwiftUI;CoreData;XCTest,Phát triển ứng dụng MoMo cho iOS với SwiftUI. Tối ưu hiệu năng và trải nghiệm người dùng.,Tối thiểu 2 năm iOS. Thành thạo Swift. Có app trên App Store.,Thưởng ESOP; bảo hiểm FPT Care; MacBook Pro; team building,2026-07-30,CSV Sample,
Android Developer (Kotlin),TIKI Corporation,,TP. Hồ Chí Minh,22 - 35 triệu,22000000,35000000,Kotlin;Jetpack Compose;Coroutines;Room DB;Dagger Hilt,Phát triển ứng dụng Tiki cho Android với Jetpack Compose. Tối ưu hiệu năng cho hàng triệu người dùng.,Tối thiểu 3 năm Android. Thành thạo Kotlin và Jetpack Compose.,Lương tháng 13; team trẻ; môi trường năng động; thưởng hiệu suất,2026-08-12,CSV Sample,
CyberSecurity Analyst,CMC Cyber Security,,Hà Nội,25 - 40 triệu,25000000,40000000,Penetration Testing;Python;SIEM;OWASP;Burp Suite,Thực hiện đánh giá bảo mật cho khách hàng doanh nghiệp. Phát hiện lỗ hổng và đề xuất giải pháp.,Tối thiểu 2 năm an ninh mạng. Chứng chỉ CEH hoặc tương đương.,Chứng chỉ bảo mật được tài trợ; làm việc với chuyên gia; lương cạnh tranh,2026-09-20,CSV Sample,
Cloud Solution Architect,VNPT IT,,Hà Nội,35 - 55 triệu,35000000,55000000,AWS;Azure;Terraform;Ansible;Kubernetes,Thiết kế kiến trúc cloud cho các dự án chính phủ điện tử và doanh nghiệp lớn.,Chứng chỉ AWS Professional. Tối thiểu 5 năm cloud. Kinh nghiệm dự án chính phủ.,Chế độ nhà nước; phụ cấp; đào tạo chứng chỉ; ổn định lâu dài,2026-08-30,CSV Sample,
Backend Developer (Java Spring),MISA,,Hà Nội,20 - 32 triệu,20000000,32000000,Java;Spring Boot;PostgreSQL;Microservices;Docker,Phát triển và bảo trì hệ thống ERP cho doanh nghiệp Việt Nam. Thiết kế microservices architecture.,Tối thiểu 2 năm Java Spring. Có kinh nghiệm với PostgreSQL và Docker.,Lương tháng 13; bảo hiểm; đào tạo chuyên môn; môi trường ổn định,2026-07-15,CSV Sample,
Embedded Software Engineer,Bosch Global Software,,TP. Hồ Chí Minh,20 - 35 triệu,20000000,35000000,C;C++;Embedded Linux;RTOS;Python,Phát triển phần mềm nhúng cho các hệ thống ô tô thông minh. Làm việc với đội ngũ toàn cầu.,Tối thiểu 2 năm embedded. Thành thạo C/C++. Kinh nghiệm với Linux kernel.,Cơ hội onsite Đức; bảo hiểm toàn cầu; đào tạo kỹ thuật; laptop mới,2026-08-20,CSV Sample,
Blockchain Developer,Axie Infinity (Sky Mavis),,TP. Hồ Chí Minh,30 - 55 triệu,30000000,55000000,Solidity;Ethereum;Web3.js;TypeScript;Rust,Phát triển smart contract và ứng dụng blockchain cho hệ sinh thái game Web3.,Tối thiểu 2 năm blockchain. Thành thạo Solidity. Đã deploy smart contract lên mainnet.,Token công ty; làm việc remote; tham dự hội nghị blockchain; lương USD,2026-09-10,CSV Sample,
Game Developer (Unity),VNG Games,,TP. Hồ Chí Minh,18 - 30 triệu,18000000,30000000,C#;Unity;Game Design;Mobile Game;Optimization,Phát triển game mobile cho thị trường Việt Nam và Đông Nam Á. Tối ưu hiệu năng trên thiết bị tầm trung.,Tối thiểu 2 năm Unity. Có game đã publish. Kinh nghiệm mobile game.,Thưởng theo doanh thu game; môi trường sáng tạo; team building; đồ chơi miễn phí,2026-08-01,CSV Sample,
Technical Writer,DataBricks Vietnam,,Remote,18 - 28 triệu,18000000,28000000,Technical Writing;Markdown;API Documentation;Python;English,Viết tài liệu kỹ thuật và API documentation cho các sản phẩm data platform. Dịch thuật tài liệu sang tiếng Việt.,Tiếng Anh xuất sắc. Kinh nghiệm viết tài liệu kỹ thuật 2+ năm.,Làm việc remote 100%; bảo hiểm quốc tế; thiết bị làm việc; đào tạo,2026-08-25,CSV Sample,
IT Support Engineer,Base.vn,,Hà Nội,12 - 18 triệu,12000000,18000000,IT Support;Linux;Networking;Troubleshooting;English,Hỗ trợ kỹ thuật cho khách hàng doanh nghiệp sử dụng nền tảng Base.vn. Xử lý sự cố và hướng dẫn sử dụng.,Tối thiểu 1 năm IT support. Kiến thức cơ bản về Linux và network.,Bảo hiểm; đào tạo sản phẩm; môi trường startup; thăng tiến nhanh,2026-07-10,CSV Sample,
Data Scientist,Rikkeisoft,,Đà Nẵng,25 - 40 triệu,25000000,40000000,Python;Machine Learning;SQL;Statistics;Data Visualization,Xây dựng mô hình dự đoán và phân tích dữ liệu cho khách hàng Nhật Bản. Trình bày kết quả bằng visualization.,Tối thiểu 2 năm Data Science. Thành thạo Python và SQL. Tiếng Nhật là lợi thế.,Cơ hội onsite Nhật Bản; lương tháng 13; đào tạo tiếng Nhật; bảo hiểm,2026-08-18,CSV Sample,
Site Reliability Engineer (SRE),ZaloPay (VNG),,TP. Hồ Chí Minh,40 - 60 triệu,40000000,60000000,Linux;Kubernetes;Go;Prometheus;Grafana,Đảm bảo độ tin cậy 99.99% cho hệ thống thanh toán ZaloPay. Xây dựng monitoring và incident response.,Tối thiểu 4 năm SRE/DevOps. Thành thạo Kubernetes và Go. Kinh nghiệm hệ thống tài chính.,Cổ phiếu ESOP; bảo hiểm; on-call allowance; môi trường scale lớn,2026-09-05,CSV Sample,
