title,company_name,company_logo_url,location,salary_text,salary_min,salary_max,skills,description,requirements,benefits,deadline,source_name,source_url,quality_score,is_active
Nhân Viên Kiểm Thử Phần Mềm,CÔNG TY TNHH RORZE ROBOTECH,https://static.careerlink.vn/image/da41211b2bc46d988d6c09917573eda1,"Quận An Dương, Hải Phòng",Cạnh tranh,,,,,,,,CareerLink,https://careerlink.vn/tim-viec-lam/nhan-vien-kiem-thu-phan-mem/3535137,0.8824,true
"Effect-Animation (Unity) - Tiếng Anh - Quận Bình Thạnh, TPHCM.",CareerLink's Client,https://blob-careerlinkvn.careerlink.vn/company_logos/6f851d10948fe93582f98e7751a04632.png,"Bình Thạnh, Hồ Chí Minh",,,,,,,,,CareerLink,https://careerlink.vn/tim-viec-lam/effect-animation-unity-tieng-anh-quan-binh-thanh-tphcm-./3411956,0.6471,true
Lập Trình Viên,Công Ty TNHH Thương Mại Và Dịch Vụ Ban Mai,https://static.careerlink.vn/image/d4789a9f1db6340c35e3936a6e10aab9,"Đại Mỗ, Hà Nội",,,,,,,,,CareerLink,https://careerlink.vn/tim-viec-lam/lap-trinh-vien/3512600,0.6471,true
Kỹ Sư IT Phần Mềm (Vũng Tàu Cũ),CÔNG TY TNHH TÀI NGUYÊN CHC VIỆT NAM - CHI NHÁNH BÀ RỊA - VŨNG TÀU,https://static.careerlink.vn/image/3150009b64fabf9594298f2bbb7e5fa6,"Phú Mỹ, Hồ Chí Minh",,,,,,,,,CareerLink,https://careerlink.vn/tim-viec-lam/ky-su-it-phan-mem-vung-tau-cu/3520092,0.7647,true
Winform (App) Developer,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ĐIỆN TỬ BÌNH ANH,https://static.careerlink.vn/image/9eb0b7b537b7bb5b462af8c5e61c2488,"Định Công, Hà Nội",,,,,,,,,CareerLink,https://careerlink.vn/tim-viec-lam/winform-app-developer/3534432,0.7647,true
Trưởng Bộ Phận IT,Công ty Cổ phần Nguyên Liệu Thực Phẩm Á Châu Sài Gòn,https://static.careerlink.vn/image/3f9f5b8b3f9e5e5c3d6a7b8c9d0e1f2a,"Thới Hòa, Hồ Chí Minh",,,,,,,,,CareerLink,https://careerlink.vn/tim-viec-lam/truong-bo-phan-it/3534091,0.7647,true
DATA ENGINEER,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ĐIỆN TỬ BÌNH ANH,https://static.careerlink.vn/image/d7dc2592b54f79eb015f7229053a9e27,"Định Công, Hà Nội",,,,,,,Được đi du lịch 2-3 lần trong 1 năm,2026-07-11,CareerLink,https://careerlink.vn/tim-viec-lam/data-engineer/3534173,0.7647,true
NHÂN VIÊN KINH DOANH - KHU VỰC BÌNH DƯƠNG,CÔNG TY CỔ PHẦN TẬP ĐOÀN KHOA HỌC CÔNG NGHỆ BÁCH KHOA,https://static.careerlink.vn/image/abc123,"Bình Dương, Hồ Chí Minh",,,,,,,,,CareerLink,https://careerlink.vn/tim-viec-lam/nhan-vien-kinh-doanh-khu-vuc-binh-duong/3515031,0.7647,true
Data Management Staff / Statistical Analysis Staff,Công Ty TNHH CMIC Data Science Việt Nam,https://static.careerlink.vn/image/52a7ef5c6a134fe019ca9c601d46c751,"An Hải, Đà Nẵng",,,,,"What are DM and STAT?
- To support clinical trials, CDSVN focuses on two core functions:
DM (Data Management)
- Ensure that clinical trial data are properly prepared to support statistical analysis and regulatory submission through the following tasks:
+ Design of data entry screens
+ Data cleaning and validation (error and inconsistency checks)
+ Queries to sites (communication with medical institutions)
+ Final data confirmation (database lock)
STAT (Statistical Analysis)
- Ensure that clinical trial data are appropriately analysed to support clinical development and regulatory submission through the following tasks:
+ Use statistical methods and SAS programming
+ Generate analysis datasets, tables, and reports","Job Requirements:
Experience: No prior experience required; Fresh Graduates are highly encouraged to apply.
Education: Bachelor's degree or higher in Pharmacy or a science-related field in general (Data Science, Computer Science, Statistics, Mathematics, Biotechnology is preferred)
English Proficiency: Minimum TOEIC score of 650 (or equivalent).
Availability: able to start on August 1st.
Commitment & Development:
Year 1: Focus on intensive training, skill upgrades, and obtaining professional certificates.
Year 2 onwards: Direct involvement in official clinical trial projects.
We are looking for candidates who are committed to long-term career growth with the company.
Preferred Qualifications (Advantages):
Medical Background: Basic knowledge of medical terminology or clinical research is a plus.
IT skills: Basic knowledge of or interest in programming (e.g., SAS, SQL) and basic Excel skills (e.g., organizing and handling data using simple functions) are a plus.
Language Skills: Proficiency in Japanese (JLPT N3 or above) is highly valued.
International Opportunity: High-performing staff will have the opportunity for intensive training in Japan (eligible from the 3rd year of employment).
Interview process: the selection process consists of 2 rounds:
1 st : Interview (offline) with HR (by English); Discussion of salary expectations and initial
suitability + Test IQ
2 nd : Final interview (Online/Offline) with General Director (by English) in June or July 2026","Workday (Monday – Friday).
Annual team-building trips and off-site meetings (e.g., Nha Trang, Hue, Hoi An.., etc.).
Flexible start and end times under a core-hours system, allowing you to avoid rush-hour commuting and better balance work and personal commitments   (Start time between 7:00 AM and 10:00 AM, depending on team operations)
No overtime policy to ensure health and well-being.
Generous JLPT bonuses
Fully paid leaves for all Vietnamese Public Holidays and selected Japanese Holidays.
Premium Bao Viet Health Insurance for employees and their children.
Annual comprehensive health check-ups.
Long-service awards for 5-year and 10-year milestones.
100% sponsorship for HPV vaccination.
100% sponsorship for flu vaccination
Physical Wellness: Partial sponsorship (subsidies) for sports classes and fitness memberships to encourage a healthy lifestyle.
Competitive allowances and social insurance.
Partial sponsorship for Japanese language classes.
Flexible Work-from-Home options for pregnant employees and parents with children under 2 years old.",2026-06-20,CareerLink,https://careerlink.vn/tim-viec-lam/data-management-staff-statistical-analysis-staff/3511052,0.7647,true
NHÂN VIÊN IT,CÔNG TY CỔ PHẦN LONG HẢI QUẢNG NINH,https://www.careerlink.vn/web/images/common/no-logo.png,"Uông Bí, Yên Tử, Quảng Ninh",Thương lượng,,,,"* Địa điểm làm việc: Dự án Hoa viên Nghĩa trang Thiên Phúc Vĩnh Hằng Viên, Quảng Ninh
* Giới thiệu dự án
- Thiên Phúc Vĩnh Hằng Viên là dự án hoa viên nghĩa trang cao cấp, rộng 32,5 ha, tọa lạc trên địa bàn phường Uông Bí và phường Yên Tử, tỉnh Quảng Ninh. Dự án được đầu tư bởi Công ty Cổ phần Long Hải Quảng Ninh và được hợp tác triển khai cùng đơn vị Sala Garden – thương hiệu uy tín trong lĩnh vực hoa viên sinh thái.
- Chúng tôi đang tìm kiếm 01 Nhân viên IT.
* Công việc chính
- Quản trị hệ thống và hạ tầng mạng.
- Hỗ trợ kỹ thuật.
- Bảo mật và lưu trữ dữ liệu.
- Quản lý thiết bị và phần mềm.
* Quyền lợi
- Đóng BHXH, BHYT, BHTN... đầy đủ
- Môi trường làm việc chuyên nghiệp.
- Hưởng đầy đủ chế độ theo quy định.","* Yêu cầu
- Kinh nghiệm tối thiểu 2 năm.
- Am hiểu phần cứng máy tính, quản trị mạng và các hệ điều hành.
- Giải quyết vấn đề nhanh.
- Tận tâm, hỗ trợ kịp thời và có tinh thần trách nhiệm với tính bảo mật của dữ liệu.",A chance to travel 2-3 times a year,2026-07-08,CareerLink,https://careerlink.vn/tim-viec-lam/nhan-vien-it/3529464,0.8824,true
